date,meantemp,humidity,wind_speed,mean_pressure
2013-10-1,20.22,25.8,0,650.42
2013-10-10,17.5666666666667,22.3333333333333,0,656.766666666667
2013-10-11,17.7,22.5,0,656.475
2013-10-12,18.125,19.75,0,653.725
2013-10-13,16.8,24.4,0,650.8
2013-10-14,16.4,28.4,0,653.16
2013-10-15,15.94,34,0,655.16
2013-10-16,16.42,24.2,0.4,653.76
2013-10-17,16.26,24.8,0,652.62
2013-10-18,18.86,19.4,0.8,649.3
2013-10-19,10.56,72.2,0,651.46
2013-10-2,19.8333333333333,28,1,649.866666666667
2013-10-20,12.06,38.8,0,656.36
2013-10-21,12.3333333333333,39.6666666666667,0,657.366666666667
2013-10-22,12.8,35.6,0,655.4
2013-10-23,14.575,34,0,653.375
2013-10-24,8.325,75.75,0,656.4
2013-10-25,11.36,51.6,0,655.62
2013-10-26,11.52,49.8,0.8,652
2013-10-27,11.14,50,0,653.52
2013-10-28,11.5,45.6,0,653.64
2013-10-29,11.1,36.4,0,655.04
2013-10-3,18.75,44,0,648.6
2013-10-30,11.02,36.6,0,655.26
2013-10-31,10.5,42,0,656.8
2013-10-4,15.3,42.6666666666667,1,648.533333333333
2013-10-5,11,40,0,649.625
2013-10-6,7.3,57,1.66666666666667,650.366666666667
2013-10-7,9.65,36.5,0,654.5
2013-10-8,13,32.3333333333333,0,656.233333333333
2013-10-9,13.875,25.75,1.25,658.075
2013-11-1,11.82,38,0,656.36
2013-11-10,11.175,73.75,0,654.775
2013-11-11,10,77.5,0,655.625
2013-11-12,10.3,71.75,0,654.95
2013-11-13,11.5,57.5,0,653.075
2013-11-14,9.03333333333333,66.3333333333333,0,652.866666666667
2013-11-15,10.05,63.25,0,652.525
2013-11-16,9.9,57.75,0,653.6
2013-11-17,7.45,65.25,0,653.25
2013-11-18,8.175,61.25,0,654.9
2013-11-19,8.975,51,0,656.7
2013-11-2,12.3,38.2,0,655
2013-11-20,10.825,47.75,0,654.525
2013-11-21,10.075,50,0,651.95
2013-11-22,8.75,54.5,0,651.775
2013-11-23,7.875,58,0,651.95
2013-11-24,8.675,54.25,0,653.4
2013-11-25,8.6,77.25,0,653.975
2013-11-26,9.13333333333333,67.3333333333333,0,654.3
2013-11-27,8.9,79.25,0.5,653.4
2013-11-28,6.225,85.5,0,652.725
2013-11-29,4,92.25,0,649.65
2013-11-3,11.86,36,0,655.02
2013-11-30,3.575,66.25,0,654.25
2013-11-4,11.44,34.8,0,656.56
2013-11-5,9.92,39.6,0,656.9
2013-11-6,11.925,38.5,0,655.825
2013-11-7,12.025,42.25,0,654.15
2013-11-8,9.425,76.25,0,653.85
2013-11-9,9.425,84.75,0,652.725
2013-12-1,1.075,60.5,0,660.625
2013-12-10,-9.35,71.25,0,650.875
2013-12-11,-7.325,87.25,0,648.45
2013-12-12,-6.275,87.5,0,643.85
2013-12-13,-8.55,85.25,0,649.6
2013-12-14,-6.475,82.75,0,652.475
2013-12-15,-7.825,87,0,657.05
2013-12-16,-9,81.75,0,658.975
2013-12-17,-11.225,96.5,0,659.05
2013-12-18,-16.1,93.75,0,658.725
2013-12-19,-16.1,95.8,0,657.64
2013-12-2,2.85,70.5,0.5,656.3
2013-12-20,-13.04,91.2,0,661.76
2013-12-21,-16.28,93.2,0,656.16
2013-12-22,-18.075,98,0,661.85
2013-12-23,-17.2,98.4,0,662.34
2013-12-24,-17.16,96.2,0,663.74
2013-12-25,-16.92,93.6,0,664.04
2013-12-26,-14.68,96.4,0,662
2013-12-27,-13.24,90.4,0,660.6
2013-12-28,-15.62,94.4,0,660.84
2013-12-29,-15.72,91,0,659.08
2013-12-3,4.35,68.5,0.75,649.95
2013-12-30,-9.14,86.4,0,656.16
2013-12-31,-3.92,78.8,0,654.12
2013-12-4,0.3,32.5,0.5,654.175
2013-12-5,-0.375,66.75,0,649.9
2013-12-6,1.425,56.25,0,651.175
2013-12-7,1.65,64.25,0.5,651.5
2013-12-8,0.225,77,2.75,646.2
2013-12-9,-5.575,53,0.75,651.475
2013-5-29,22.3,28,0,650.7
2013-5-30,21.95,37.5,1,649.95
2013-6-1,23,41,0,647.7
2013-6-10,22.4,43,0,647
2013-6-11,22.45,35.5,0,648.1
2013-6-12,24.75,32.5,0,647.75
2013-6-13,27.5,24,0,647.75
2013-6-14,28.05,19,0,648.25
2013-6-15,29.25,21.5,0,647.4
2013-6-16,27.45,17.5,0,646.7
2013-6-17,27.5,23,0,645.2
2013-6-18,22.6,40.5,0.5,645.75
2013-6-19,14.6,82,0,649.6
2013-6-2,23.5,28,0,649.6
2013-6-20,24.1,35.5,0,648.35
2013-6-21,22.6,30,0,649
2013-6-22,24.35,27,0,649.75
2013-6-23,27.35,24.5,0,648.9
2013-6-24,29.4,20.5,0,647.65
2013-6-25,29.1,20,0,647.5
2013-6-26,28.95,23,0,648.85
2013-6-27,29.95,18.5,0.5,649.35
2013-6-28,30.2,15.5,1.5,648.4
2013-6-29,29.95,18.5,0,647.75
2013-6-3,25.45,26.5,0,646.5
2013-6-30,31.3,15.5,0,647.25
2013-6-4,24.5,23,0,648
2013-6-5,24.85,19.5,0,651.55
2013-6-6,24.6,17,0,650
2013-6-7,19.95,36.5,0,649.6
2013-6-8,21.1,32.5,0,649.5
2013-6-9,21.2,30,0,648.7
2013-7-1,32.05,11.5,1.5,645.65
2013-7-10,27.8,28,0,644.7
2013-7-11,30.06,22.7,0.8,644.32
2013-7-12,29.15,28,0,646.7
2013-7-13,29.84,25.6,0,647.34
2013-7-14,30.04,23.6,0,646.68
2013-7-15,31.34,20.8,0,647.52
2013-7-16,31.14,16,0,647.74
2013-7-17,31.725,16,0,647.575
2013-7-2,28.75,25.5,0,645.15
2013-7-3,27.4,24.5,0,647
2013-7-4,27.8,29,0,647.6
2013-8-27,32.2,14,0,647.8
2013-8-28,30.325,21.25,1,650.1
2014-1-1,-5.22,83.6,0,655.64
2014-1-10,-13.36,84.8,0,656.78
2014-1-11,-16.46,93.2,0,655.76
2014-1-12,-16.76,91.4,0,657.16
2014-1-13,-10.3,83,0,654.34
2014-1-14,0.56,65,0,654.04
2014-1-15,-2.075,74.25,0,656.975
2014-1-16,-7.04,85.2,0,659.54
2014-1-17,-7.42,89.8,0,656.22
2014-1-18,-8.44,96,0,657.32
2014-1-19,-8.14,92.2,0,657.26
2014-1-2,-7.04,92.4,0,658.12
2014-1-20,-9.12,96.8,0,656.56
2014-1-21,-8.16,93.4,0,656.16
2014-1-22,-6.64,92.8,0,653.78
2014-1-23,0.14,91.4,0,651.54
2014-1-24,-1.08,83.4,0,653.74
2014-1-25,-2.68,85.6,0,654.08
2014-1-26,-0.72,87.6,0,651.92
2014-1-27,0.52,92,0,648.62
2014-1-28,0.92,91.8,0,645.68
2014-1-29,2.6,86.8,0,652.12
2014-1-3,-4.8,83.4,0,658.52
2014-1-30,0.98,90,0.6,652.26
2014-1-31,-2.38,72.6,0,656.1
2014-1-4,-6.84,86,0,658.1
2014-1-5,-9.62,87,0,656.96
2014-1-6,-12.46,86.4,0,657.48
2014-1-7,-17.2,95.8,0,657.78
2014-1-8,-18.1,95,0,658.5
2014-1-9,-17.52,86.2,0,658.92
2014-10-1,15.5,53.6875,0.8125,654.3875
2014-10-10,17.54375,41.75,0.5625,655.58125
2014-10-11,17.325,46.25,0.75,655.6625
2014-10-12,16.53125,54.5625,0.8125,654.70625
2014-10-13,15.04375,72.5625,0.625,654.38125
2014-10-14,14.59375,71.6875,0.4375,653.9875
2014-10-15,15.14375,67.4375,0.8125,653.0375
2014-10-16,13,68.5,0.6875,653.78125
2014-10-17,12.99375,68.3125,0.625,652.0125
2014-10-18,13.0125,66.125,1,649.96875
2014-10-19,11.24,63.4666666666667,0.533333333333333,648.486666666667
2014-10-2,16.65625,50.9375,0.6875,653.76875
2014-10-20,9.04375,46.0625,1,650.48125
2014-10-21,11.39375,59.5,0.625,651.4375
2014-10-22,12.14375,59.3125,0.8125,655.025
2014-10-23,11.28125,67.125,0.3125,655.2875
2014-10-24,12.7375,57,0.5625,654.0625
2014-10-25,12.56875,59.3125,0.4375,653.4375
2014-10-26,12.6125,62.0625,0.5,654.29375
2014-10-27,11.875,64.9375,0.5,656.33125
2014-10-28,11.43125,65.8125,0.25,655.875
2014-10-29,11.34375,62,0.625,654.8875
2014-10-3,19.7923076923077,45.1538461538462,0.923076923076923,652.584615384615
2014-10-30,11.3,63.5625,0.4375,653.275
2014-10-31,8.85,84,0.5625,649.80625
2014-10-4,18.7692307692308,48.6153846153846,0.538461538461538,652.907692307692
2014-10-5,18.56875,38.8125,1.25,653.94375
2014-10-6,18.025,41.5625,0.6875,655.1375
2014-10-7,17.98125,40.625,0.75,655.34375
2014-10-8,17.60625,43.125,1.0625,654.40625
2014-10-9,16.36875,48,0.6875,654.58125
2014-11-1,9.1125,72.25,0.4375,648.80625
2014-11-10,6.925,52.5625,0.6875,658.41875
2014-11-11,8.20666666666667,54.9333333333333,0.6,656.013333333333
2014-11-12,7.95882352941177,52.1764705882353,0.588235294117647,654.876470588235
2014-11-13,7.66875,50.75,0.6875,654.61875
2014-11-14,7.64375,44.9375,0.25,655.53125
2014-11-15,7,60.875,0.3125,654.85625
2014-11-16,7.98125,75.5,0.5,653.1625
2014-11-17,8.79375,71.5,0.1875,653.025
2014-11-18,8.64375,66.9375,0.8125,655.69375
2014-11-19,7.93125,67,0.5,657.68125
2014-11-2,7.7375,61.0625,1.3125,648.9
2014-11-20,7.4375,67.125,0.4375,655.95625
2014-11-21,7.21875,66.9375,0.25,652.34375
2014-11-22,4.74375,83.3125,0.625,647.15625
2014-11-23,5.05625,66,0.5,650.525
2014-11-24,0.93125,84.5,0.25,652.05625
2014-11-25,2.26875,89,0.25,651.46875
2014-11-26,3.18125,89.9375,0.5,649.55
2014-11-27,3.1,89.4375,0.25,650.475
2014-11-28,4.55625,77.0625,0.375,654.29375
2014-11-29,3.275,64.9375,0.5625,655.6
2014-11-3,3.50625,42.25,1.1875,651.7
2014-11-30,2.49375,66.625,0.4375,653.7625
2014-11-4,2.375,44.3125,1.125,652.1625
2014-11-5,3.4875,37.375,1,657.5375
2014-11-6,5,45.3125,1.0625,659.525
2014-11-7,6.45625,51.375,1,659.75625
2014-11-8,6.7875,55.375,0.75,659.3125
2014-11-9,6.24375,51.8125,0.75,659.08125
2014-12-1,3.56875,79.1875,0.75,651.53125
2014-12-10,6.16153846153846,86.1538461538462,0.0769230769230769,656.1
2014-12-11,6.2,76.1538461538462,0.461538461538462,658.769230769231
2014-12-12,5.43076923076923,74.1538461538462,0.461538461538462,656.884615384615
2014-12-13,1.36153846153846,91.3076923076923,0.692307692307692,654.753846153846
2014-12-14,2.2,91.6923076923077,0.0769230769230769,655.923076923077
2014-12-15,3.83846153846154,86.8461538461538,0.384615384615385,655.869230769231
2014-12-16,4.03333333333333,66.5,0.333333333333333,657.333333333333
2014-12-19,2.7,85,1,655.05
2014-12-2,3.60769230769231,65.6923076923077,0.769230769230769,654.392307692308
2014-12-20,4,73,0.2,654.08
2014-12-21,2.7,63,0.5,653.15
2014-12-22,0.966666666666667,83.6666666666667,0.333333333333333,650.4
2014-12-23,-1,70.75,0,650.425
2014-12-24,-5.75,76.5,0.5,657.3
2014-12-25,-5.36,77,0.4,659.18
2014-12-26,-3.3,86.6666666666667,0.333333333333333,657.733333333333
2014-12-27,-1.975,83,0.75,655.25
2014-12-28,0.1,83,1,653.65
2014-12-29,3.25,78,1,654.5
2014-12-3,7.06153846153846,74.3076923076923,0.615384615384615,656.823076923077
2014-12-30,5.4,79,1,653.2
2014-12-31,5.9,62.5,0.5,653.8
2014-12-4,4.78461538461538,76.8461538461538,0.307692307692308,659.146153846154
2014-12-5,5.78461538461538,75.5384615384615,0.384615384615385,656.276923076923
2014-12-6,7.03076923076923,72,0.307692307692308,657.392307692308
2014-12-7,6.93846153846154,80.2307692307692,0.0769230769230769,657.315384615385
2014-12-8,6.63076923076923,88.3076923076923,0.0769230769230769,657.1
2014-12-9,7.5,86.9230769230769,0.230769230769231,655.792307692308
2014-2-1,-1.5,51.8,0,655.88
2014-2-10,-7,64,0,655.1
2014-2-11,-4.58,69.4,0,655.42
2014-2-12,-3.52,70.8,0,657.48
2014-2-13,-6.56,81.2,0,657
2014-2-14,-7.84,92.8,0,656.48
2014-2-15,-6.86,85.6,0,652.08
2014-2-16,-2.08,84.6,0,651.22
2014-2-17,-4.42,89.2,0,655.2
2014-2-18,-6.08,91,0,658.14
2014-2-19,-4.26,89.4,0,658.06
2014-2-2,-6.48,50.8,0,655.6
2014-2-20,-4.6,91.8,0,658.06
2014-2-21,-4.62,93,0.2,655.88
2014-2-22,-3.7,92.2,0,653.22
2014-2-23,-2.84,93,0,654.52
2014-2-24,-2.66,91.4,0,656.68
2014-2-25,-2.12,87.4,0,654.32
2014-2-26,1,91.6,0,652.52
2014-2-27,1.76,89.2,0,653.24
2014-2-28,2.52,81.6,0,652.4
2014-2-3,-8.1,46.8,1.2,653.38
2014-2-4,-8.78,56.2,0.2,652.1
2014-2-5,-8.68,54,0.6,654
2014-2-6,-9.52,65,0,653.5
2014-2-7,-9.34,64.6,0.2,655.48
2014-2-8,-9.38,69.8,0.2,656.78
2014-2-9,-8.4,69.4,0,657.46
2014-3-1,-0.784615384615385,87.2307692307692,0,654.761538461538
2014-3-10,7.77692307692308,78.4615384615385,0,648.792307692308
2014-3-11,7.12307692307692,63.0769230769231,0.692307692307692,648.884615384615
2014-3-12,6.78461538461538,61.6923076923077,0.692307692307692,644.2
2014-3-13,2.00625,83.875,0.125,646.65625
2014-3-14,4.68571428571429,75.5,0.142857142857143,650.928571428571
2014-3-15,7.50625,47.25,0.5625,650.8
2014-3-16,6.78125,56.875,0.0625,650.7625
2014-3-17,7.625,59,1.75,649.15
2014-3-18,4.3,83.875,0.5,650.93125
2014-3-19,6.925,60.125,0.125,653.575
2014-3-2,-0.484615384615385,82.1538461538462,0,654.5
2014-3-20,8.96875,50.625,0.4375,652.8375
2014-3-21,10.225,45.4375,0.1875,653.03125
2014-3-22,10.66875,32.5,0.125,653.93125
2014-3-23,10.94375,33.625,0.125,653.3
2014-3-24,11.925,31.5,0.125,652.83125
2014-3-25,12.2,34.6875,0,650.69375
2014-3-26,10.825,46.375,0.125,652.30625
2014-3-27,12.43125,44.5625,0,651.975
2014-3-28,12.075,39.6875,0.75,650.75
2014-3-29,11.15625,46.625,3.1875,644.8125
2014-3-3,2.18461538461538,78.3076923076923,0,650.923076923077
2014-3-30,-4.49230769230769,85.6153846153846,0.692307692307692,641.630769230769
2014-3-31,0.9,55.5555555555556,0,648.166666666667
2014-3-4,1.33076923076923,92.4615384615385,0,648.061538461538
2014-3-5,3.5875,85.875,0,652.6625
2014-3-6,4.35625,79.8125,0,653.20625
2014-3-7,6.6125,78,0,653.68125
2014-3-8,7.92307692307692,73.3846153846154,0,656.415384615385
2014-3-9,9.37692307692308,68,0,654.430769230769
2014-4-1,4.68461538461538,45.8461538461538,0,648.923076923077
2014-4-10,8.73125,69.6875,0.0625,650.9125
2014-4-11,11.06875,55.375,0.75,654.13125
2014-4-12,12.95625,45.4375,0.666666666666667,654.5125
2014-4-13,9.31875,71,0.25,651.7875
2014-4-14,11.6375,59.8125,0.6875,651.95625
2014-4-15,12.0625,58.8125,0.875,652.09375
2014-4-16,11.29375,73.75,0.25,654.03125
2014-4-17,13.61875,60.875,0.5625,653.4375
2014-4-18,14.58125,66.9375,0.0625,651.09375
2014-4-19,17.56875,53.1875,0.8125,653.76875
2014-4-2,7.56666666666667,49.8666666666667,0,647.74
2014-4-20,13.725,60.6875,1.125,652.95
2014-4-21,14.05625,56.9375,0.9375,650.5125
2014-4-22,14.2875,50.25,0.6875,651.05625
2014-4-23,15.0375,37.6875,1.5,652.23125
2014-4-24,16.1625,35.9375,0.75,651.7875
2014-4-25,17.46875,42.3125,1.125,652.15625
2014-4-26,20.7071428571429,33.5,2.14285714285714,647.978571428572
2014-4-27,20.5692307692308,25.1538461538461,0,650.292307692308
2014-4-28,16.6846153846154,42.6153846153846,1.41666666666667,651.592307692308
2014-4-29,17.6538461538461,34.7692307692308,2.69230769230769,649.507692307692
2014-4-3,7.80625,61.8125,0.6875,648.2875
2014-4-30,17.7538461538462,29.8461538461539,1.61538461538461,650.184615384615
2014-4-4,9.09375,33.625,0.0625,651.25
2014-4-5,9.35625,36.8125,0,651.53125
2014-4-6,10.6111111111111,40.2222222222222,0,651.488888888889
2014-4-7,13.0125,44.625,0,652.7
2014-4-8,15.29375,31.8125,1.375,648.4875
2014-4-9,9.55,64.4375,0.785714285714286,649.44375
2014-5-1,15.7230769230769,48.7692307692308,1.23076923076923,650.015384615385
2014-5-10,16.81875,59.1875,0.875,650.9
2014-5-11,17.7875,43.8125,1,650.79375
2014-5-12,16.4125,42.5625,0.9375,651.375
2014-5-13,13.3875,68.0625,0.75,650.55625
2014-5-14,14.10625,62,0.6875,650.175
2014-5-15,17.125,51.375,0.625,651.1375
2014-5-16,20.2,41.5625,0.8125,651.9625
2014-5-17,21.96875,38.1875,0.75,652.175
2014-5-18,20.76875,28.8125,1.375,650.30625
2014-5-19,15.125,43.375,1.375,649.8125
2014-5-2,16.9153846153846,28.8461538461539,1.53846153846154,649.653846153846
2014-5-20,13.85,52,0.8125,650.00625
2014-5-21,16.0615384615385,48.6153846153846,0.923076923076923,650.423076923077
2014-5-22,17.1461538461539,50.1538461538462,0.615384615384615,651.515384615385
2014-5-23,18.9769230769231,51.1538461538462,0.846153846153846,651.623076923077
2014-5-24,14.2846153846154,66.2307692307692,1,652.638461538461
2014-5-25,18.5461538461538,49.8461538461538,1.38461538461539,650.546153846154
2014-5-26,18.9692307692308,46.9230769230769,1.23076923076923,651.176923076923
2014-5-27,17.9416666666667,52.8333333333333,0.833333333333333,649.616666666667
2014-5-28,19.3307692307692,48.6153846153846,0.692307692307692,649.353846153846
2014-5-29,21.9307692307692,37.3076923076923,1,651.369230769231
2014-5-3,17.4,29.1538461538461,1.30769230769231,649.584615384615
2014-5-30,23.2307692307692,34.4615384615385,0.923076923076923,651.538461538462
2014-5-31,22.6615384615385,41.2307692307692,1.30769230769231,650.923076923077
2014-5-4,19.0384615384615,30,1.23076923076923,652.476923076923
2014-5-5,21.9615384615385,28.9230769230769,1.07692307692308,652.8
2014-5-6,19.39375,40.75,1.0625,652.54375
2014-5-7,18.53125,46.125,0.6875,652.31875
2014-5-8,20.15,43.3125,0.75,651.7
2014-5-9,16.01875,68.5625,1.4375,651.81875
2014-6-1,24.4461538461539,25.9230769230769,1.38461538461539,647.9
2014-6-10,21.01875,40.75,1.1875,650.64375
2014-6-11,22.875,33.6875,1.1875,647.00625
2014-6-12,17.0875,59.6875,0.9375,645.44375
2014-6-13,18.325,41.125,0.9375,647.875
2014-6-14,20.75,35.1875,0.875,649.6
2014-6-15,22.5625,30.1875,0.6875,650.975
2014-6-16,23.825,26.875,0.75,650.78125
2014-6-17,24.11875,31.3125,0.8125,650.00625
2014-6-18,24.68125,30.0625,0.875,650.10625
2014-6-19,26.25,32.5,0.875,648.03125
2014-6-2,19.18125,37.625,1.3125,648.13125
2014-6-20,26.99375,31.25,0.875,646.725
2014-6-21,25.49375,16.75,1.25,648.3625
2014-6-22,24.3875,22.1875,1.0625,650.06875
2014-6-23,24.59375,25.0625,0.8125,650.725
2014-6-24,25.70625,27.4375,0.875,649.1125
2014-6-25,25.48125,28.3125,0.875,648
2014-6-26,25.71875,24.75,1.0625,650.025
2014-6-27,27.11875,18,0.875,652.3625
2014-6-28,27.78125,21.3125,0.5625,651.54375
2014-6-29,27.5071428571429,22.7857142857143,0.928571428571429,649.657142857143
2014-6-3,15.73125,51.8125,1.125,649.6125
2014-6-30,27.50625,21,1.1875,650.5375
2014-6-4,17.725,50,0.75,652.0125
2014-6-5,17.025,54.6875,1.25,651.41875
2014-6-6,17.0625,59.5,0.8125,648.93125
2014-6-7,19.00625,50.3125,0.875,649.03125
2014-6-8,20.54375,44.3125,1.0625,650.0125
2014-6-9,21.9,33.5,0.9375,650.7375
2014-7-1,27.98125,17.1875,0.875,651.4625
2014-7-10,27.80625,19.4375,0.9375,647.85625
2014-7-11,28.6588235294118,17.8235294117647,0.882352941176471,649.7
2014-7-12,29.55,19.4166666666667,0.833333333333333,650.1
2014-7-13,30.35625,16.875,0.875,646.98125
2014-7-14,30.04375,16.5,0.8125,646.6375
2014-7-15,29.7875,17.8125,1.3125,647.51875
2014-7-16,30.2,17.0625,0.8125,648.5875
2014-7-17,30.75,13.625,1.1875,648.18125
2014-7-18,30.53125,12.5,1,646.975
2014-7-19,30.35625,13.875,1,645.9875
2014-7-2,28.975,19.3125,1.0625,651.28125
2014-7-20,29.625,17.25,1.25,644.6625
2014-7-21,18.86875,62.3125,1.1875,646.925
2014-7-22,24.34375,43.6875,0.8125,648.5375
2014-7-23,27.93125,30.625,1,649.025
2014-7-24,29.625,24,1,647.9
2014-7-25,30.4,19.125,0.9375,646.33125
2014-7-26,30.75,18.75,0.9375,647.2
2014-7-27,28.4125,18.875,1.3125,649.375
2014-7-28,30.5076923076923,18.2307692307692,1.07692307692308,648.853846153846
2014-7-29,30.5846153846154,20.5384615384615,0,647.646153846154
2014-7-3,29.1625,23.1875,1.3125,649.45625
2014-7-30,31.0615384615385,17.4615384615385,1.07692307692308,647.092307692308
2014-7-31,30.4307692307692,18.6923076923077,1.30769230769231,647.223076923077
2014-7-4,27.8666666666667,25.4,1,646.54
2014-7-5,22.7875,50.75,1.125,647.95625
2014-7-6,25.80625,35.5625,1.1875,648.65
2014-7-7,26.84375,20.1875,1.0625,648.83125
2014-7-8,26.15625,28.625,0.8125,647.775
2014-7-9,26.25625,26.5625,0.875,647.09375
2014-8-1,32.0769230769231,15,1,647.3
